contractor_domain,contractor_name_normalized,jurisdiction,project_address,score,email_candidate,contact_role_bucket,generation_method
johnowenrenovations5729.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,estimating@johnowenrenovations5729.com,role_inbox,role_inbox
johnowenrenovations5729.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,projects@johnowenrenovations5729.com,role_inbox,role_inbox
johnowenrenovations5729.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,project@johnowenrenovations5729.com,role_inbox,role_inbox
johnowenrenovations5729.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,operations@johnowenrenovations5729.com,role_inbox,role_inbox
johnowenrenovations5729.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,dispatch@johnowenrenovations5729.com,role_inbox,role_inbox
johnowenrenovations5729.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,safety@johnowenrenovations5729.com,role_inbox,role_inbox
johnowenrenovations5729.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,info@johnowenrenovations5729.com,role_inbox,role_inbox
johnowenrenovations5729.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,bids@johnowenrenovations5729.com,role_inbox,role_inbox
johnowenrenovations5729dallas.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,estimating@johnowenrenovations5729dallas.com,role_inbox,role_inbox
johnowenrenovations5729dallas.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,projects@johnowenrenovations5729dallas.com,role_inbox,role_inbox
johnowenrenovations5729dallas.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,project@johnowenrenovations5729dallas.com,role_inbox,role_inbox
johnowenrenovations5729dallas.com,"john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622","Dallas, TX",2619 MADERA ST,0,operations@johnowenrenovations5729dallas.com,role_inbox,role_inbox
