source_type,source_url,source_capture_utc,jurisdiction_x,permit_or_record_id,record_status,record_date,record_date_iso,project_address_x,project_city,project_state,description_raw,contractor_name_raw,contractor_name_normalized_x,dedupe_key,lift_probability_score,score_hits,recency_ok,contractor_domain,domain_resolution_source,contractor_name_normalized_y,jurisdiction_y,project_address_y,score,email_candidate,contact_role_bucket,generation_method,email,email_verification_status,email_is_catchall,email_quality_score,email_verification_provider,personalization_tokens
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1812201080,issued,12/20/18,2018-12-20,3535 TRAVIS ST Ste:130,Dallas,TX,INTERIOR REMODEL ONLY,"AUSTIN COMMERCIAL LP 3535 TRAVIS ST , DALLAS , TX 75203 (214) 443-5700","austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700",5a182eed48ba4e5c2479f494167b3c32ab20a8f6,4,"indoor_or_tight_access,issued_or_awarded_status",False,austincommercial.com,seed_partial,"austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700","Dallas, TX",3535 TRAVIS ST Ste:130,0.0,estimating@austincommercial.com,role_inbox,role_inbox,estimating@austincommercial.com,catchall,True,risky,millionverifier,"{""jurisdiction"":"""",""city"":""Dallas"",""state"":""TX"",""trigger"":""indoor_or_tight_access,issued_or_awarded_status"",""status"":""issued"",""address"":"""",""permit_id"":""1812201080""}"
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1812201080,issued,12/20/18,2018-12-20,3535 TRAVIS ST Ste:130,Dallas,TX,INTERIOR REMODEL ONLY,"AUSTIN COMMERCIAL LP 3535 TRAVIS ST , DALLAS , TX 75203 (214) 443-5700","austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700",5a182eed48ba4e5c2479f494167b3c32ab20a8f6,4,"indoor_or_tight_access,issued_or_awarded_status",False,austincommercial.com,seed_partial,"austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700","Dallas, TX",3535 TRAVIS ST Ste:130,0.0,projects@austincommercial.com,role_inbox,role_inbox,projects@austincommercial.com,catchall,True,risky,millionverifier,"{""jurisdiction"":"""",""city"":""Dallas"",""state"":""TX"",""trigger"":""indoor_or_tight_access,issued_or_awarded_status"",""status"":""issued"",""address"":"""",""permit_id"":""1812201080""}"
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1812201080,issued,12/20/18,2018-12-20,3535 TRAVIS ST Ste:130,Dallas,TX,INTERIOR REMODEL ONLY,"AUSTIN COMMERCIAL LP 3535 TRAVIS ST , DALLAS , TX 75203 (214) 443-5700","austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700",5a182eed48ba4e5c2479f494167b3c32ab20a8f6,4,"indoor_or_tight_access,issued_or_awarded_status",False,austincommercial.com,seed_partial,"austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700","Dallas, TX",3535 TRAVIS ST Ste:130,0.0,project@austincommercial.com,role_inbox,role_inbox,project@austincommercial.com,catchall,True,risky,millionverifier,"{""jurisdiction"":"""",""city"":""Dallas"",""state"":""TX"",""trigger"":""indoor_or_tight_access,issued_or_awarded_status"",""status"":""issued"",""address"":"""",""permit_id"":""1812201080""}"
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1812201080,issued,12/20/18,2018-12-20,3535 TRAVIS ST Ste:130,Dallas,TX,INTERIOR REMODEL ONLY,"AUSTIN COMMERCIAL LP 3535 TRAVIS ST , DALLAS , TX 75203 (214) 443-5700","austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700",5a182eed48ba4e5c2479f494167b3c32ab20a8f6,4,"indoor_or_tight_access,issued_or_awarded_status",False,austincommercial.com,seed_partial,"austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700","Dallas, TX",3535 TRAVIS ST Ste:130,0.0,operations@austincommercial.com,role_inbox,role_inbox,operations@austincommercial.com,catchall,True,risky,millionverifier,"{""jurisdiction"":"""",""city"":""Dallas"",""state"":""TX"",""trigger"":""indoor_or_tight_access,issued_or_awarded_status"",""status"":""issued"",""address"":"""",""permit_id"":""1812201080""}"
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1812201080,issued,12/20/18,2018-12-20,3535 TRAVIS ST Ste:130,Dallas,TX,INTERIOR REMODEL ONLY,"AUSTIN COMMERCIAL LP 3535 TRAVIS ST , DALLAS , TX 75203 (214) 443-5700","austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700",5a182eed48ba4e5c2479f494167b3c32ab20a8f6,4,"indoor_or_tight_access,issued_or_awarded_status",False,austincommercial.com,seed_partial,"austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700","Dallas, TX",3535 TRAVIS ST Ste:130,0.0,dispatch@austincommercial.com,role_inbox,role_inbox,dispatch@austincommercial.com,catchall,True,risky,millionverifier,"{""jurisdiction"":"""",""city"":""Dallas"",""state"":""TX"",""trigger"":""indoor_or_tight_access,issued_or_awarded_status"",""status"":""issued"",""address"":"""",""permit_id"":""1812201080""}"
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1812201080,issued,12/20/18,2018-12-20,3535 TRAVIS ST Ste:130,Dallas,TX,INTERIOR REMODEL ONLY,"AUSTIN COMMERCIAL LP 3535 TRAVIS ST , DALLAS , TX 75203 (214) 443-5700","austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700",5a182eed48ba4e5c2479f494167b3c32ab20a8f6,4,"indoor_or_tight_access,issued_or_awarded_status",False,austincommercial.com,seed_partial,"austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700","Dallas, TX",3535 TRAVIS ST Ste:130,0.0,safety@austincommercial.com,role_inbox,role_inbox,safety@austincommercial.com,catchall,True,risky,millionverifier,"{""jurisdiction"":"""",""city"":""Dallas"",""state"":""TX"",""trigger"":""indoor_or_tight_access,issued_or_awarded_status"",""status"":""issued"",""address"":"""",""permit_id"":""1812201080""}"
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1812201080,issued,12/20/18,2018-12-20,3535 TRAVIS ST Ste:130,Dallas,TX,INTERIOR REMODEL ONLY,"AUSTIN COMMERCIAL LP 3535 TRAVIS ST , DALLAS , TX 75203 (214) 443-5700","austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700",5a182eed48ba4e5c2479f494167b3c32ab20a8f6,4,"indoor_or_tight_access,issued_or_awarded_status",False,austincommercial.com,seed_partial,"austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700","Dallas, TX",3535 TRAVIS ST Ste:130,0.0,info@austincommercial.com,role_inbox,role_inbox,info@austincommercial.com,catchall,True,risky,millionverifier,"{""jurisdiction"":"""",""city"":""Dallas"",""state"":""TX"",""trigger"":""indoor_or_tight_access,issued_or_awarded_status"",""status"":""issued"",""address"":"""",""permit_id"":""1812201080""}"
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1812201080,issued,12/20/18,2018-12-20,3535 TRAVIS ST Ste:130,Dallas,TX,INTERIOR REMODEL ONLY,"AUSTIN COMMERCIAL LP 3535 TRAVIS ST , DALLAS , TX 75203 (214) 443-5700","austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700",5a182eed48ba4e5c2479f494167b3c32ab20a8f6,4,"indoor_or_tight_access,issued_or_awarded_status",False,austincommercial.com,seed_partial,"austin commercial 3535 travis st , dallas , tx 75203 (214) 443-5700","Dallas, TX",3535 TRAVIS ST Ste:130,0.0,bids@austincommercial.com,role_inbox,role_inbox,bids@austincommercial.com,catchall,True,risky,millionverifier,"{""jurisdiction"":"""",""city"":""Dallas"",""state"":""TX"",""trigger"":""indoor_or_tight_access,issued_or_awarded_status"",""status"":""issued"",""address"":"""",""permit_id"":""1812201080""}"
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1812203062,issued,12/20/18,2018-12-20,1316 W CANTERBURY CT,Dallas,TX,BACKUP GENERATOR,"KEISER ELECTRIC PO BOX 151612, FT WORTH, TX 76108 (817) 319-2796","keiser electric po box 151612, ft worth, tx 76108 (817) 319-2796",5b6fe147c87b8d5c2dbf3559d8f220488d9034b9,4,"generator_or_ups,issued_or_awarded_status",False,keiserelectric.com,seed_partial,"keiser electric po box 151612, ft worth, tx 76108 (817) 319-2796","Dallas, TX",1316 W CANTERBURY CT,0.0,estimating@keiserelectric.com,role_inbox,role_inbox,estimating@keiserelectric.com,catchall,True,risky,millionverifier,"{""jurisdiction"":"""",""city"":""Dallas"",""state"":""TX"",""trigger"":""generator_or_ups,issued_or_awarded_status"",""status"":""issued"",""address"":"""",""permit_id"":""1812203062""}"
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1812203062,issued,12/20/18,2018-12-20,1316 W CANTERBURY CT,Dallas,TX,BACKUP GENERATOR,"KEISER ELECTRIC PO BOX 151612, FT WORTH, TX 76108 (817) 319-2796","keiser electric po box 151612, ft worth, tx 76108 (817) 319-2796",5b6fe147c87b8d5c2dbf3559d8f220488d9034b9,4,"generator_or_ups,issued_or_awarded_status",False,keiserelectric.com,seed_partial,"keiser electric po box 151612, ft worth, tx 76108 (817) 319-2796","Dallas, TX",1316 W CANTERBURY CT,0.0,projects@keiserelectric.com,role_inbox,role_inbox,projects@keiserelectric.com,catchall,True,risky,millionverifier,"{""jurisdiction"":"""",""city"":""Dallas"",""state"":""TX"",""trigger"":""generator_or_ups,issued_or_awarded_status"",""status"":""issued"",""address"":"""",""permit_id"":""1812203062""}"
