source_type,source_url,source_capture_utc,jurisdiction,permit_or_record_id,record_status,record_date,record_date_iso,project_address,project_city,project_state,description_raw,contractor_name_raw,contractor_name_normalized,dedupe_key,lift_probability_score,score_hits,recency_ok,contractor_domain,domain_resolution_source
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311041,issued,12/31/19,2019-12-31,2619 MADERA ST,Dallas,TX,INTERIOR / EXTERIOR REMODEL,"JOHN OWEN RENOVATIONS LLC 5729 LEBANON RD #144-317, FRISCO, TX 75034 (972) 689-9622","john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622",f3af1cf268d8347b51f8af567342c5d0066da08c,4,"indoor_or_tight_access,issued_or_awarded_status",False,johnowenrenovations5729.com|johnowenrenovations5729dallas.com|john-owen-renovations.com,enrichment_generated
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1902131109,issued,12/31/19,2019-12-31,2075 S BUCKNER BLVD,Dallas,TX,NEW CONSTRUCTION STORE WITH FUEL SALES.,"SCHAFFER CONSTRUCTION, LLC P.O. Box 2431, Frisco, TX 75034 (972) 824-5583","schaffer construction, p.o. box 2431, frisco, tx 75034 (972) 824-5583",87acccb2a90a14e416b566ec7a85b0a3fff28663,6,"new_construction,issued_or_awarded_status",False,schafferconstruction.com,seed_partial
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1902131108,issued,12/31/19,2019-12-31,2075 S BUCKNER BLVD,Dallas,TX,NEW CONSTRUCTION STORE WITH FUEL SALES.,"SCHAFFER CONSTRUCTION, LLC P.O. Box 2431, Frisco, TX 75034 (972) 824-5583","schaffer construction, p.o. box 2431, frisco, tx 75034 (972) 824-5583",30ec737775e6aa517e5987fddfbe9ea89d13d80f,6,"new_construction,issued_or_awarded_status",False,schafferconstruction.com,seed_partial
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1908081176,issued,12/31/19,2019-12-31,10511 OLYMPIC DR,Dallas,TX,NEW CONSTRUCTION - COMMERCIAL BUILDING,"ALL AMERICAN ROOFING REMODELING 111 PARK HURST LN, ALLEN, TX 75013 (214) 686-9075","all american roofing remodeling 111 park hurst ln, allen, tx 75013 (214) 686-9075",e3680c62d8539cd913b3b73542d9d8e39e598b2e,6,"new_construction,issued_or_awarded_status",False,allamericanroofingremodeling.com|allamericanroofingremodelingdallas.com|all-american-roofing.com,enrichment_generated
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912312018,issued,12/31/19,2019-12-31,2618 ELECTRONIC LN,Dallas,TX,RUN GAS LINES ON ROOF FOR RTU'S DAMAGED IN TORNADO,"DYNA TEN CORPORATION 4375 DIPLOMACY , FORT WORTH, TX 76155 (817) 616-2200","dyna tenoration 4375 diplomacy , fort worth, tx 76155 (817) 616-2200",65f4189d082403b6c1befbe6dfae19791dfb126e,4,"hvac_rooftop,issued_or_awarded_status",False,dynatenoration4375diplomacy.com|dynatenoration4375diplomacydallas.com|dyna-tenoration-4375.com,enrichment_generated
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311056,issued,12/31/19,2019-12-31,2323 N HOUSTON ST,Dallas,TX,INTERIOR REMODEL ONLY,"HOME FRONT RENOVATIONS 909 S SYLVANIA, FORT WORTH, TX 76111 (817) 697-5021","home front renovations 909 s sylvania, fort worth, tx 76111 (817) 697-5021",df894f05996ac60648eaaa1f70a1b5c964face5d,4,"indoor_or_tight_access,issued_or_awarded_status",False,homefrontrenovations909.com|homefrontrenovations909dallas.com|home-front-renovations.com,enrichment_generated
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1905291080,issued,12/31/19,2019-12-31,1520 ROUND TABLE DR,Dallas,TX,INSTALL DIESEL GAS BACK-UP GENERATOR,"AZTECA ENTERPRISES, INC. 2518 CHALK HILL RD, DALLAS, TX 75212 (214) 905-0612","azteca enterprises,. 2518 chalk hill rd, dallas, tx 75212 (214) 905-0612",27e5af68d3c3b450736a7b6add637f5576260545,4,"generator_or_ups,issued_or_awarded_status",False,azteca-omega.com,seed_partial
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912316004,issued,12/31/19,2019-12-31,708 WAYNE ST,Dallas,TX,REPLACE INTERIOR GAS LINE,"OROZCO'S SERVICES INC 2028 GRENOBLE DR, CARROLLTON, TX 75007 (972) 245-9210","orozco's services 2028 grenoble dr, carrollton, tx 75007 (972) 245-9210",a3f9c063e4788911df9d69e7d246acc2658d57e0,4,"indoor_or_tight_access,issued_or_awarded_status",False,orozcos2028grenobledr.com|orozcos2028grenobledrdallas.com|orozcos-2028-grenoble.com,enrichment_generated
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1902131107,issued,12/31/19,2019-12-31,2075 S BUCKNER BLVD,Dallas,TX,NEW CONSTRUCTION STORE WITH FUEL SALES.,"SCHAFFER CONSTRUCTION, LLC P.O. Box 2431, Frisco, TX 75034 (972) 824-5583","schaffer construction, p.o. box 2431, frisco, tx 75034 (972) 824-5583",2d1c901f43ab8112d10e1c4ce633d3e56e5f3b98,6,"new_construction,issued_or_awarded_status",False,schafferconstruction.com,seed_partial
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912312019,issued,12/31/19,2019-12-31,2600 ELECTRONIC LN,Dallas,TX,REPLACING GAS LINES ON ROOF FOR RTU'S,"DYNA TEN CORPORATION 4375 DIPLOMACY , FORT WORTH, TX 76155 (817) 616-2200","dyna tenoration 4375 diplomacy , fort worth, tx 76155 (817) 616-2200",1445977970af6e693b71ca5bb168aa1232196e14,4,"hvac_rooftop,issued_or_awarded_status",False,dynatenoration4375diplomacy.com|dynatenoration4375diplomacydallas.com|dyna-tenoration-4375.com,enrichment_generated
