source_type,source_url,source_capture_utc,jurisdiction,permit_or_record_id,record_status,record_date,record_date_iso,project_address,project_city,project_state,description_raw,contractor_name_raw,contractor_name_normalized,dedupe_key,lift_probability_score,score_hits,recency_ok
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912173019,issued,12/31/19,2019-12-31,2911 CLYDEDALE DR,Dallas,TX,SEWER RELAY,"HOFFMAN TEXAS INC DBA ROTO ROOTER SERVICE PLUMBING CO 3817 CONFLANS , IRVING, TX 75061 (972) 986-1027","hoffman texas dba roto rooter service plumbing co 3817 conflans , irving, tx 75061 (972) 986-1027",2123b817996a2464eaaf1cd6708048a6597ba0ca,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912314001,issued,12/31/19,2019-12-31,5118 N HALL ST,Dallas,TX,REMOVE EXISTING ROOF AND INSTALL NEW ROOF,"QUICK ROOFING LLC 925 E kennedale Parkway, Kennedale, TX 76060 (817) 477-0999","quick roofing 925 e kennedale parkway, kennedale, tx 76060 (817) 477-0999",70254a75bf1b45ed5f80b6983ee4d3f054f0e648,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311041,issued,12/31/19,2019-12-31,2619 MADERA ST,Dallas,TX,INTERIOR / EXTERIOR REMODEL,"JOHN OWEN RENOVATIONS LLC 5729 LEBANON RD #144-317, FRISCO, TX 75034 (972) 689-9622","john owen renovations 5729 lebanon rd #144-317, frisco, tx 75034 (972) 689-9622",f3af1cf268d8347b51f8af567342c5d0066da08c,4,"indoor_or_tight_access,issued_or_awarded_status",False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912271020,issued,12/31/19,2019-12-31,660 JONELLE AVE,Dallas,TX,CONSTRUCT NEW SFD,"GUEL FAMILY BUILDERS INC 718 E WOODIN, DALLAS, TX 75216 (214) 573-3077","guel family builders 718 e woodin, dallas, tx 75216 (214) 573-3077",e40bf42e9ddb7ea3cb3c9ec38ac0699847fe6fef,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313017,issued,12/31/19,2019-12-31,11352 LIPPITT AVE,Dallas,TX,REMODEL EXISTING PLUMBING,"HOFFMAN TEXAS INC DBA ROTO ROOTER SERVICE PLUMBING CO 3817 CONFLANS , IRVING, TX 75061 (972) 986-1027","hoffman texas dba roto rooter service plumbing co 3817 conflans , irving, tx 75061 (972) 986-1027",69866e379f9d050652b79a707b55ff5c8a0363aa,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313020,issued,12/31/19,2019-12-31,2001 BRYAN ST Ste:4000,Dallas,TX,INSTALL WATER HEATER,"HOFFMAN TEXAS INC DBA ROTO ROOTER SERVICE PLUMBING CO 3817 CONFLANS , IRVING, TX 75061 (972) 986-1027","hoffman texas dba roto rooter service plumbing co 3817 conflans , irving, tx 75061 (972) 986-1027",71591dcd39dc04587296f2bd030b0e2b50fd002c,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912241082,issued,12/31/19,2019-12-31,4229 MUNGER AVE,Dallas,TX,DEMO SFD,REKJ BUILDERS LLC,rekj builders,cc6482219da5e2044aceb2463574dedb0eaba680,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313026,issued,12/31/19,2019-12-31,3232 LOVE FIELD DR,Dallas,TX,INSTALL WATER HEATER,"HOFFMAN TEXAS INC DBA ROTO ROOTER SERVICE PLUMBING CO 3817 CONFLANS , IRVING, TX 75061 (972) 986-1027","hoffman texas dba roto rooter service plumbing co 3817 conflans , irving, tx 75061 (972) 986-1027",eb22ceb9b83cf6963d6e7b8d715b8d688bdc4fcc,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311043,issued,12/31/19,2019-12-31,4231 MUNGER AVE,Dallas,TX,DEMO SFD,REKJ BUILDERS LLC,rekj builders,b1d7642585c1928d310b32da4265c1b73e5d09c1,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311036,issued,12/31/19,2019-12-31,2223 SINGLETON BLVD Ste:116,Dallas,TX,ERECT ATTACHED SIGN,"BARNETT SIGNS INC \4250 ACTION DR, MESQUITE, TX 75150 /9726818800","barnett signs \4250 action dr, mesquite, tx 75150 /9726818800",c5c32f3c93a2dcdb923c1409f31cc903601462e4,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313019,issued,12/31/19,2019-12-31,4117 THROCKMORTON ST,Dallas,TX,REPLACE OR MODIFY EXISTING HVAC,"CRAWFORD SERVICES 1405 Ave T, Grand Prairie, TX 75050 (817) 869-9033","crawford services 1405 ave t, grand prairie, tx 75050 (817) 869-9033",41a90eb018186bcd4985949eea3ae3ca2b74b73f,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912311010,issued,12/31/19,2019-12-31,9562 LAKEMONT DR,Dallas,TX,DEMO SFD,A A CONSTRUCTION,a a construction,d1205fb6cf58ebc1bc51fe7e24180f855832710a,2,issued_or_awarded_status,False
permit,https://www.dallasopendata.com/Services/Building-Permits/e7gq-4sah,2026-03-01T19:06:46+00:00,"Dallas, TX",1912313036,issued,12/31/19,2019-12-31,3209 SUNNYVALE ST,Dallas,TX,ELECTRICAL REPAIRS,"MR ELECTRIC OF WEST FORT WORTH 1169 N BURLESON BLVD, BURLESON, TX 76028 (817) 244-7200","mr electric of west fort worth 1169 n burleson blvd, burleson, tx 76028 (817) 244-7200",22baaf013d828467d9e04041b6f4547966044dbb,2,issued_or_awarded_status,False
