email,email_verification_status,email_is_catchall,email_quality_score,email_verification_provider
estimating@schafferconstruction.com,invalid,False,bad,millionverifier
projects@schafferconstruction.com,invalid,False,bad,millionverifier
project@schafferconstruction.com,invalid,False,bad,millionverifier
operations@schafferconstruction.com,invalid,False,bad,millionverifier
dispatch@schafferconstruction.com,invalid,False,bad,millionverifier
safety@schafferconstruction.com,invalid,False,bad,millionverifier
info@schafferconstruction.com,invalid,False,bad,millionverifier
bids@schafferconstruction.com,invalid,False,bad,millionverifier
estimating@azteca-omega.com,valid,False,good,millionverifier
projects@azteca-omega.com,invalid,False,bad,millionverifier
project@azteca-omega.com,invalid,False,bad,millionverifier
operations@azteca-omega.com,invalid,False,bad,millionverifier
dispatch@azteca-omega.com,invalid,False,bad,millionverifier
safety@azteca-omega.com,invalid,False,bad,millionverifier
info@azteca-omega.com,invalid,False,bad,millionverifier
bids@azteca-omega.com,invalid,False,bad,millionverifier
estimating@ohtconstruction.com,invalid,False,bad,millionverifier
projects@ohtconstruction.com,invalid,False,bad,millionverifier
project@ohtconstruction.com,invalid,False,bad,millionverifier
operations@ohtconstruction.com,invalid,False,bad,millionverifier
dispatch@ohtconstruction.com,invalid,False,bad,millionverifier
safety@ohtconstruction.com,invalid,False,bad,millionverifier
info@ohtconstruction.com,invalid,False,bad,millionverifier
bids@ohtconstruction.com,invalid,False,bad,millionverifier
estimating@generatorsupercenterofdallas.com,invalid,False,bad,millionverifier
projects@generatorsupercenterofdallas.com,invalid,False,bad,millionverifier
project@generatorsupercenterofdallas.com,invalid,False,bad,millionverifier
operations@generatorsupercenterofdallas.com,invalid,False,bad,millionverifier
dispatch@generatorsupercenterofdallas.com,invalid,False,bad,millionverifier
safety@generatorsupercenterofdallas.com,invalid,False,bad,millionverifier
info@generatorsupercenterofdallas.com,invalid,False,bad,millionverifier
bids@generatorsupercenterofdallas.com,invalid,False,bad,millionverifier
estimating@entechresources.com,invalid,False,bad,millionverifier
projects@entechresources.com,invalid,False,bad,millionverifier
project@entechresources.com,invalid,False,bad,millionverifier
operations@entechresources.com,invalid,False,bad,millionverifier
dispatch@entechresources.com,invalid,False,bad,millionverifier
safety@entechresources.com,invalid,False,bad,millionverifier
info@entechresources.com,invalid,False,bad,millionverifier
bids@entechresources.com,invalid,False,bad,millionverifier
estimating@ableelectric.com,invalid,False,bad,millionverifier
projects@ableelectric.com,invalid,False,bad,millionverifier
project@ableelectric.com,invalid,False,bad,millionverifier
operations@ableelectric.com,invalid,False,bad,millionverifier
dispatch@ableelectric.com,invalid,False,bad,millionverifier
safety@ableelectric.com,invalid,False,bad,millionverifier
info@ableelectric.com,invalid,False,bad,millionverifier
bids@ableelectric.com,invalid,False,bad,millionverifier
estimating@austincommercial.com,catchall,True,risky,millionverifier
projects@austincommercial.com,catchall,True,risky,millionverifier
project@austincommercial.com,catchall,True,risky,millionverifier
operations@austincommercial.com,catchall,True,risky,millionverifier
dispatch@austincommercial.com,catchall,True,risky,millionverifier
safety@austincommercial.com,catchall,True,risky,millionverifier
info@austincommercial.com,catchall,True,risky,millionverifier
